Place,Artist,Song,Length,BPM,Year,Genre
1,Bob Dylan,Like a Rolling Stone,6:04,95.6,1965,Rock 1960s
2,The Rolling Stones,Satisfaction,3:43,134.7,1985,Rock 1980s
3,John Lennon,Imagine,3:02,152.6,1971,Slow
4,Marvin Gaye,What's Going On,3:47,101.5,1971,Dance 1970s
5,Aretha Franklin,Respect,2:23,114.5,1967,Rock 1960s
6,The Beach Boys,Good Vibrations,3:36,148.8,1966,Rock 1960s
7,Chuck Berry,Johnny B. Goode,2:38,84.1,1958,Rock 1950s
8,The Beatles,Hey Jude,7:08,146.9,1969,Rock 1960s
9,Nirvana,Smells Like Teen Spirit,5:01,117.5,1991,Rock 1990s
10,Ray Charles,What'd I Say (Parts 1 And 2),5:06,89.6,1959,Rock 1950s
11,The Who,My Generation,3:17,97.2,1966,Rock 1960s
12,Sam Cooke,A Change Is Gonna Come,3:13,138.3,1960,TBD
13,The Beatles,Yesterday,2:05,97.6,1966,Rock 1960s
14,Bob Dylan,Blowin' in the Wind,2:46,93.8,1967,TBD
15,The Clash,London Calling,3:18,134.3,1979,Rock 1970s
16,The Beatles,I Want to Hold Your Hand,2:26,131.1,1966,Rock 1960s
17,Jimi Hendrix,Purple Haze,2:50,110.2,1968,Rock 1960s
18,Chuck Berry,Maybellene,2:19,118.4,1955,Rock 1950s
19,Elvis Presley,Hound Dog,2:15,88.8,1956,Rock 1950s
20,The Beatles,Let It Be,3:52,137.5,1969,Rock 1960s
21,Bruce Springsteen,Born to Run,4:30,146.3,1975,Rock 1970s
22,The Ronettes,Be My Baby,2:37,128,1963,Dance 1960s
23,The Beatles,In My Life,2:27,103.7,1966,Rock 1960s
24,The Impressions,People Get Ready,2:38,120.4,2003,TBD
25,The Beach Boys,God Only Knows,2:52,116.6,1966,TBD
26,The Beatles,A Day in the Life,5:06,130.3,1969,Rock 1960s
27,Derek & The Dominos,Layla,7:04,115.2,1972,Rock 1970s
28,Otis Redding,(Sittin' On) the Dock of the Bay,2:41,103.3,1968,Slow
29,The Beatles,Help!,2:20,95.2,1966,Rock 1960s
30,Johnny Cash,I Walk the Line,2:41,106.4,1956,Country
31,Led Zeppelin,Stairway to Heaven,7:59,99.7,1971,Slow
32,The Rolling Stones,Sympathy for the Devil,6:18,116.2,1968,TBD
33,Tina Turner,River Deep - Mountain High,3:40,102.9,1991,Rock 1980s
34,The Righteous Brothers,You've Lost That Lovin' Feelin',3:41,96.1,1964,Slow
35,The Doors,Light My Fire,7:06,125.1,1967,Rock 1960s
36,U2,One,4:35,90.6,1992,Slow
37,Bob Marley & The Wailers,No Woman No Cry,7:07,157.7,1974,Reggae
38,The Rolling Stones,Gimme Shelter,4:32,118.9,1969,TBD
39,Buddy Holly,That'll Be the Day,2:16,116.3,1957,Rock 1950s
40,Martha Reeves & The Vandellas,Dancing in the Street,2:37,127.5,1964,Dance 1960s
41,The Band,The Weight,4:31,144.2,1968,Rock 1960s
42,The Kinks,Waterloo Sunset,3:17,107.3,1967,TBD
43,Little Richard,Tutti-Frutti,2:22,184.6,1956,Rock 1950s
44,Ray Charles,Georgia on My Mind,3:38,128.8,1960,Slow
45,Elvis Presley,Heartbreak Hotel,2:09,107.8,1956,Rock 1950s
46,David Bowie,Heroes,3:33,113.1,1998,TBD
47,Simon & Garfunkel,Bridge Over Troubled Water,4:51,87.2,1970,Slow
48,Jimi Hendrix,All Along the Watchtower,4:01,114.3,1968,Rock 1960s
49,The Eagles,Hotel California,6:29,147.9,1977,Slow
50,Smokey Robinson,Tracks of My Tears,2:55,97.7,1965,Slow
51,Grandmaster Flash�&�Melle Mel,The Message,7:07,101,1981,R&B 1980s
52,Prince,When Doves Cry,3:48,126.5,1984,Dance 1980s
53,Sex Pistols,Anarchy in the U.K.,3:32,134.3,1977,Rock 1970s
54,Percy Sledge,When a Man Loves a Woman,2:52,97.8,1966,Slow
55,The Kingsmen,Louie Louie,2:42,124,1963,Rock 1960s
56,Little Richard,Long Tall Sally,2:06,189.8,1956,Rock 1950s
57,Procol Harum,A Whiter Shade of Pale,4:04,148.6,1967,Slow
58,Michael Jackson,Billie Jean,4:54,117,1983,Dance 1980s
59,Bob Dylan,The Times They Are A-Changin',3:11,86.1,1967,Rock 1960s
60,Al Green,Let's Stay Together,3:17,102.2,1971,Slow
61,Jerry Lee Lewis,Whole Lotta Shakin' Going On,2:51,121,1957,Rock 1950s
62,Bo Diddley,Bo Diddley,2:20,106,1957,TBD
63,Buffalo Springfield,"For What It's Worth (Stop, Hey What's That Sound)",2:38,99.4,1967,Rock 1960s
64,The Beatles,She Loves You,2:22,149.8,1966,Rock 1960s
65,Cream,Sunshine of Your Love,4:11,115,1968,Rock 1960s
66,Bob Marley & The Wailers,Redemption Song,3:48,116,1980,Reggae
67,Elvis Presley,Jailhouse Rock,2:27,84.2,1957,Rock 1950s
68,Bob Dylan,Tangled Up in Blue,5:43,99.2,1994,TBD
69,Roy Orbison,Crying,2:47,97.1,2006,TBD
70,Dionne Warwick,Walk on By,2:44,99.3,1964,Slow
71,The Beach Boys,California Girls,2:37,116.3,1965,Rock 1960s
72,James Brown,Papa's Got a Brand New Bag Part 1,2:03,130.2,1965,Rock 1960s
73,Eddie Cochran,Summertime Blues,1:59,157.2,1970,Rock 1970s
74,Stevie Wonder,Superstition,4:25,101.3,1972,Disco
75,Led Zeppelin,Whole Lotta Love,5:33,92.1,1969,Rock 1960s
76,The Beatles,Strawberry Fields Forever,4:08,99.2,1969,Rock 1960s
77,Elvis Presley,Mystery Train,2:27,121,2000,TBD
78,James Brown,I Got You,2:46,147.5,1965,Rock 1960s
79,The Byrds,Mr. Tambourine Man,2:18,122.3,1965,Rock 1960s
80,Marvin Gaye,I Heard It Through the Grapevine,5:03,118.1,1968,Rock 1960s
81,Fats Domino,Blueberry Hill,2:19,125.5,1956,Slow
82,The Kinks,You Really Got Me,2:13,138,1964,Rock 1960s
83,The Beatles,Norwegian Wood (This Bird Has Flown),2:05,88.7,1966,Rock 1960s
84,The Police,Every Breath You Take,4:13,117.4,1983,Slow
85,Patsy Cline,Crazy,2:41,110.8,1961,Country
86,Bruce Springsteen,Thunder Road,4:51,144,1975,TBD
87,Johnny Cash,Ring of Fire,2:38,103.4,1963,Country
88,The Temptations,My Girl,2:42,105.1,1965,Slow
89,The Mamas & the Papas,California Dreamin',2:39,113,1966,Rock 1960s
90,The Five Satins,In the Still of the Night,3:02,105.4,1956,Slow
91,Elvis Presley,Suspicious Minds,3:20,114.8,1969,Rock 1960s
92,Ramones,Blitzkrieg Bop,2:12,88.4,1976,Rock 1970s
93,U2,I Still Haven't Found What I'm Looking For,4:37,100.6,1987,Rock 1980s
94,Little Richard,Good Golly Miss Molly,2:07,84.4,1958,Rock 1950s
95,Carl Perkins,Blue Suede Shoes,2:14,85.9,1956,Rock 1950s
96,Jerry Lee Lewis,Great Balls of Fire,1:51,161.2,1957,Rock 1950s
97,Chuck Berry,Roll Over Beethoven,2:25,92.8,1959,TBD
98,Al Green,Love And Happiness,5:07,98.9,1972,TBD
99,Creedence Clearwater Revival,Fortunate Son,2:20,132.7,1969,Rock 1970s
100,The Rolling Stones,You Can't Always Get What You Want,7:30,91.7,1969,TBD
101,Jimi Hendrix,Voodoo Child,5:13,118.6,1993,TBD
102,Gene Vincent,Be-Bop-A-Lula,2:35,127.8,1956,Rock 1950s
103,Donna Summer,Hot Stuff,3:50,120.1,1979,Disco
104,Stevie Wonder,Living for the City,7:25,99.1,1973,Rock 1980s
105,Simon & Garfunkel,The Boxer,5:09,96.2,1969,Rock 1970s
106,Bob Dylan,Mr. Tambourine Man,5:28,88.1,1967,TBD
107,Buddy Holly,Not Fade Away,2:16,97.5,1999,TBD
108,Prince,Little Red Corvette,4:56,123.2,1983,Dance 1980s
109,Van Morrison,Brown Eyed Girl,3:03,151.1,1967,Rock 1960s
110,Otis Redding,I've Been Loving You Too Long (To Stop Now),3:13,117.4,1965,TBD
111,Hank Williams,I'm So Lonesome I Could Cry,2:49,111.9,1970,TBD
112,Elvis Presley,That's All Right,1:57,105.5,2000,TBD
113,The Drifters,Up on the Roof,2:37,121.3,1962,Rock 1960s
114,The Crystals,Da Doo Ron Ron,2:18,147.6,1992,TBD
115,Sam Cooke,You Send Me,2:45,95.7,1957,Slow
116,The Rolling Stones,Honky Tonk Woman,3:00,121.2,1969,TBD
117,Al Green,Take Me to the River,3:45,118,1974,TBD
118,The Isley Brothers,Shout,4:36,138.9,1960,Rock 1960s
119,Fleetwood Mac,Go Your Own Way,3:39,135.6,1977,Rock 1970s
120,The Jackson 5,I Want You Back,3:00,98.1,1969,Dance 1960s
121,Ben E. King,Stand by Me,2:54,108.9,1961,Slow
122,The Animals,House of the Rising Sun,4:28,116.7,1964,Slow
123,James Brown,It's a Man's Man's Man's World,2:47,105.3,1991,TBD
124,The Rolling Stones,Jumpin' Jack Flash,3:40,137.5,1968,Rock 1960s
125,The Shirelles,Will You Love Me Tomorrow,2:43,125.2,1961,Rock 1960s
126,Big Joe Turner,"Shake, Rattle And Roll",3:00,153,1954,TBD
127,David Bowie,Changes,3:34,114,1972,Rock 1970s
128,Chuck Berry,Rock & Roll Music,2:31,165.8,1957,Rock 1950s
129,Steppenwolf,Born to Be Wild,3:28,146.9,1968,Rock 1960s
130,Rod Stewart,Maggie May,4:58,128.8,1971,Rock 1970s
131,U2,With or Without You,4:56,110,1987,Slow
132,Bo Diddley,Who Do You Love,2:30,114.3,1957,TBD
133,The Who,Won't Get Fooled Again,3:38,134.9,1971,Rock 1970s
134,Wilson Pickett,In the Midnight Hour,2:36,112,1965,Dance 1960s
135,The Beatles,While My Guitar Gently Weeps,4:46,115.7,1969,Rock 1960s
136,Elton John,Your Song,4:00,117.9,1970,Slow
137,The Beatles,Eleanor Rigby,2:08,138.3,1966,Rock 1960s
138,Sly & The Family Stone,Family Affair,3:02,108.6,1971,Slow
139,The Beatles,I Saw Her Standing There,2:51,160.7,1963,TBD
140,Led Zeppelin,Kashmir,8:32,120.7,1990,Rock 1970s
141,Everly Brothers,All I Have to Do Is Dream,2:22,96.9,1958,Slow
142,James Brown,"Please, Please, Please",2:44,109.6,1991,TBD
143,Prince,Purple Rain,6:32,113.7,1984,Slow
144,Ramones,I Wanna Be Sedated,2:28,162.5,1980,Rock 1980s
145,Sly & The Family Stone,Everyday People,2:19,114.5,1969,Dance 1960s
